doi,pubmed_id,title,abstract,authors,journal,year,comments
10.17660_ActaHortic.2004.649.16,6923,QTL analysis for fruit quality traits and resistance to Colletotrichum acutatum and Phytophthora cactorum in octoploid strawberry (Fragaria x ananassa),"Mapping of quantitative trait loci (QTL) controlling components of strawberry (Fragaria x ananassa Duch., 2n=8x=56) fruit quality and resistance to Colletotrichum acutatum and Phytophthora cactorum can be used to provide a better understanding of the genetic control of the traits, and to develop marker assisted selection for breeders. A segregating population of 213 individuals of a cross between ‘Capitola’ and ‘CF1116’, two genotypes with many contrasting fruit quality traits, was used for genetic mapping. ‘Capitola’ was resistant to the C. acutatum - pathogenicity group 1 (pg1) and to P. cactorum while ‘CF1116’ was susceptible to C. acutatum and moderately susceptible to P. cactorum. Fruit quality was evaluated on a total of 34 traits, including developmental and fruit aspect related traits, texture related traits, fruit acidity, sugars, ascorbate and amino acid concentrations. Most of the traits except the amino acid concentrations were evaluated during two successive years. Disease responses to C. acutatum (pg2) and P. cactorum were evaluated using a scale from 0 (no observed symptom) to 5 (dead plant) in two successive independent experiments. Data were analysed for putative QTLs using MapQTL. For the fruit quality traits, a total of 22 significant QTLs were detected by simple interval mapping (LOD>3.0) in the first year of analyses and 17 were detected in the second year. Only two QTLs could be detected in both years. The percentages of phenotypic variance explained by each QTL ranged from 6.5% to 16.0%. For resistances, a total of nine QTLs was detected (LOD>2.0), 4 for resistance to C. acutatum and 5 for resistance to P. cactorum with the percentage of variation explained by a QTL ranging from 6.5 to 12.2%. No QTL for the P. cactorum resistance overlapped the QTLs for the C. acutatum resistance.","Lerceteau-Kohler E, Moing A, Guerin G, Maucourt M, Renaud C, Rolin D, Roudeillac P, Denoyes-Rothan B",Acta horticulturae,2004,
10.17660_ActaHortic.2004.663.19,6924,QTL analysis for resistances to Colletotrichum acutatum and Phytophthora cactorum in octoploid strawberry (Fragaria x ananassa),QTL analysis for resistances to Colletotrichum acutatum and Phytophthora cactorum in octoploid strawberry (Fragaria x ananassa),"Denoyes-Rothan B, Lerceteau-Kohler E, Guerin G, Bosseur S, Bariac J, Martin E, Roudeillac P",Acta horticulturae,2004,
10.17660_ActaHortic.2004.663.56,6925,QTL analysis of fruit quality traits in Octoploid strawberry (Fragaria x ananassa),"Mapping of quantitative trait loci (QTL) controlling components of strawberry (Fragaria x ananassa Duch., 2n=8x=56) fruit quality can be used to provide a better understanding of their genetic control, and to develop marker assisted selection for breeders. For this purpose, a segregating population of 213 individuals of a cross between ‘Capitola’ and CF1116, two genotypes with many contrasting fruit quality traits, was used for genetic mapping. A total of 34 traits involved in fruit quality were evaluated, including developmental and fruit aspect related traits, texture related traits, fruit acidity, sugar and ascorbate concentrations. Amino acid concentrations were quantified using one-dimensional proton NMR spectroscopy. Most of the traits except the amino acid concentrations were evaluated during two successive years. A total of 22 significant QTLs were detected by simple interval mapping (LOD>3.0) in year 1, four on the female map and 18 on the male map, whereas 17 were detected in year 2, ten on the female map and seven on the male map. Only two QTLs could be detected in both years. When removing the year effect, 22 QTLs were observed, eight on the female and 14 on the male map. The percentages of phenotypic variance explained by each QTL ranged from 6.5% to 16.0%.","Lerceteau-Kohler E, Moing A, Guerin G, Renaud C, Courlit S, Camy D, Praud K, Parisy V, Bellec F, Maucourt M",Acta horticulturae,2004,
10.17660_ActaHortic.2012.929.16,8954,Location of QTLs affecting self-incompatibility in almond,"Although self-incompatibility (SI) in Rosaceae has been considered a single-locus qualitative trait, the evidence observed in different Prunus species has indicated the presence of modifier genes located outside the S locus. The almond progeny from the cross 'Vivot' × 'Blanquerna' has shown an unexpected self-incompatible behavior in most of the seedlings, thus requiring further study. Both parents possess the Sf allele, but with different phenotypic expressions. The male parent is self-compatible with the inactive Sf haplotype and the female parent is self-incompatible with the active Sf allele. Thus, the presence of other factors or genes involved in the mechanism of self-incompatibility in almond could explain the unexpected results. The use of microsatellite markers in this progeny has allowed identification of several loci involved in the SI reaction and to locate these modifier genes in the ‘V×B’ map. These results may indicate that almond is a species with a genetic background of pseudo-self-compatibility controlled by modifier genes.","Fernández i Martí A, Howad W, Tao R, Alonso J, Arús P, Socias i Company R",Acta horticulturae,2012,
10.17660_ActaHortic.2011.912.81,9012,Transmission of chilling and heat requirements for flowering in almond and development of QTLs,"Transmission of chilling and heat requirements for breaking dormancy and flowering were studied in a F1 almond progeny of 167 seedlings from a cross between the late-flowering French selection ‘R1000’ and the early-flowering Spanish cultivar ‘Desmayo Largueta’. The seedlings showed a wide range of chilling requirements for flowering (chill units, CU) between the progenitors ‘Desmayo Largueta’ (158 CU) and ‘R1000’ (741 CU), with a narrower range of heat requirements. Late-flowering seedlings finished dormancy 40 days after the earliest progenitor, ‘Desmayo Largueta’. The results indicated that flowering time in almond is mainly a consequence of the chilling requirement for a particular genotype, with heat requirement having a smaller effect. Both chilling and heat requirements for breaking dormancy showed quantitative transmission in the progeny studied. QTL (quantitative trait loci) analysis was performed to establish linkage between SSR markers and chilling and heat requirements in an almond genetic linkage map. The development of efficient marker-assisted selection (MAS) strategies for almond and other Prunus breeding programs are also discussed.","Sanchez-Perez R, Dicenta F, Martinez-Gomez P",Acta horticulturae,2011,
10.17660_ActaHortic.2012.962.20,9057,Detection of seed dormancy quantitative trait loci (QTL) in peach,"Dormancy is a condition that delays or inhibits growth in seed, vegetative buds, and floral buds. Growth resumes in vegetative and floral buds after winter bud dormancy has been met by the accumulation of chilling hours and heat units necessary to break endodormancy and ecodormancy, respectively. Seed germination occurs after seed dormancy has been met by sufficient accumulation of stratification hours. A recent study in our lab suggests that the date of seed germination and the same seedling’s vegetative and floral bud chilling requirement are not correlated. Correlations have been reported, however, between mean seed stratification requirements and mean bud chilling requirements among families. Prior to this study the number of genes involved in regulating seed dormancy and their location on the peach genomic map was unknown. Segregating F2 seed was collected from a high x low stratification requirement F1 hybrid in 2005, 2006 and 2008. Three experiments were performed in which batches of seed received varying amounts of stratification. Data on seed germination response, time of germination, and seedling development was collected. Genomic DNA from resulting plants was extracted and screened with SSR markers selected from the Prunus genomic map at an average resolution of 20 cM. Seed dormancy QTL were compared with previously detected vegetative and floral bud dormancy QTL. Seed dormancy QTL specific to stratification requirement and germination time were detected. A QTL region common to both seed stratification requirement and vegetative bud chilling requirement was found.","Blaker K, Chaparro J",Acta horticulturae,2012,
10.17660_ActaHortic.2012.962.17,9062,Genetic control and location of QTLs involved in antioxidant capacity and fruit quality traits in peach [Prunus persica (L.) batsch],"In peach fruits, phenolic compounds serve as a major source of potential antioxidants which are known to play a significant role in fruit quality and in human well being. This study was conducted in a F1 population derived from the cross 'Venus' × 'Big Top' nectarines in order to investigate the variability in the fruit antioxidant content and to study the genetic control and location of QTLs involved in fruit quality traits. Biochemical analyses have been performed to measure L-ascorbic acid (vitamin C), total phenolics, flavonoids, anthocyanins contents and antioxidant capacity.","Abidi W, Cantín C, Buhner T, Gonzalo M, Moreno M, Gogorcena Y",Acta horticulturae,2012,
10.17660_ActaHortic.2002.592.38,9109,Physical mapping and integration of QTL intervals involved in fruit quality on peach fruit variety and rootstock molecular maps,We report here the initial results concerning the transformation of AFLP markers into more portable SSR markers and their assignment to several groups of peach BAC clones. These AFLP markers have been previously located in QTL intervals involved in peach fruit quality on the genetic linkage map of the cross ‘Suncrest’ x ‘Bailey’. The purpose of this study was to combine genetic and physical maps in order to both undertake comparative mapping and to investigate the conservation of fruit quality characters among several Prunus persica (L.) Batsch. genotypes.,"Lecouls A, Reighard A, Abbott A, Dirlewanger E",Acta horticulturae,2002,
10.17660_ActaHortic.2002.592.35,9111,QTLs and genes controlling peach fruit quality,"The sugar/acid ratio contributes greatly to fleshy fruit quality. We undertook a QTL-candidate gene approach for this character in peach fruit. QTLs involved in peach sugar and acidity variations at maturity were detected using data from 3 years on an F2 progeny issued from a hybrid between ‘Jalousia’ (flat non-acid peach) and ‘Fantasia’ (round acid nectarine). We assumed that, among the genes involved in sugar and organic acid metabolic pathways, some may be responsible for the variability observed in peach fruit quality. Eighteen peach cDNAs encoding key proteins for cell expansion, sugar loading, or sugar and organic acid metabolism and vacuolar storage were isolated. They could not be mapped using the intra-specific progeny. However, they were located within the European Prunus reference map (Joobeur et al. 1998) derived from an interspecific almond x peach cross, which allowed to search for co-locations of cDNAs and QTLs by comparing the intraspecific map and the reference map. Using SSCP, we located 12 cDNAs to 4 linkage groups of the peach genome, and detected a cDNA/QTL co-location. It involved a cDNA encoding a tonoplast pyrophosphatase (PRUpe-Vp2) energizing the vacuolar storage of sugars and organic acids, and QTLs controlling peach soluble solid content and sucrose content at maturity. We further showed differences between ‘Jalousia’ and ‘Fantasia’ in the accumulation of mRNAs related to PRUpe-Vp2 during the fruit development.","Etienne C, Dirlewanger E, Cosson P, Svanella-Dumas L, Monet R, Moing A, Rothan C, Bodenes C, Plomion C, Kervella J",Acta horticulturae,2002,
10.1038_s41438-021-00648-2,14206,Chromosome-level genome assemblies of five Prunus species and genome-wide association studies for key agronomic traits in peach.,"Prunus species include many important perennial fruit crops, such as peach, plum, apricot, and related wild species. Here, we report de novo genome assemblies for five species, including the cultivated species peach (Prunus persica), plum (Prunus salicina), and apricot (Prunus armeniaca), and the wild peach species Tibetan peach (Prunus mira) and Chinese wild peach (Prunus davidiana). The genomes ranged from 240 to 276 Mb in size, with contig N50 values of 2.27-8.30 Mb and 25,333-27,826 protein-coding gene models. As the phylogenetic tree shows, plum diverged from its common ancestor with peach, wild peach species, and apricot ~7 million years ago (MYA). We analyzed whole-genome resequencing data of 417 peach accessions, called 3,749,618 high-quality SNPs, 577,154 small indels, 31,800 deletions, duplications, and inversions, and 32,338 insertions, and performed a structural variant-based genome-wide association study (GWAS) of key agricultural traits. From our GWAS data, we identified a locus associated with a fruit shape corresponding to the OVATE transcription factor, where a large inversion event correlates with higher OVATE expression in flat-shaped accessions. Furthermore, a GWAS revealed a NAC transcription factor associated with fruit developmental timing that is linked to a tandem repeat variant and elevated NAC expression in early-ripening accessions. We also identified a locus encoding microRNA172d, where insertion of a transposable element into its promoter was found in double-flower accessions. Thus, our efforts have suggested roles for OVATE, a NAC transcription factor, and microRNA172d in fruit shape, fruit development period, and floral morphology, respectively, that can be connected to traits in other crops, thereby demonstrating the importance of parallel evolution in the diversification of several commercially important domesticated species. In general, these genomic resources will facilitate functional genomics, evolutionary research, and agronomic improvement of these five and other Prunus species. We believe that structural variant-based GWASs can also be used in other plants, animal species, and humans and be combined with deep sequencing GWASs to precisely identify candidate genes and genetic architecture components.","Tan Q, Li S, Zhang Y, Chen M, Wen B, Jiang S, Chen X, Fu X, Li D, Wu H, Wang Y, Xiao W, Li L",Horticulture research,2021,
10.1270_jsbbs.20151,14319,Comparative QTL mapping for male sterility of cultivated strawberry (Fragaria × ananassa Duch.) using different reference genome sequences.,"Male sterility is one of the reproductive isolation systems in plants and quite useful for F1 seed production. We previously identified three independent quantitative trait loci (QTLs) for male sterility of cultivated strawberry, Here, we identified the specific subgenomes in which these QTLs are located by QTL-seq approach. QTLs qMS4.1, qMS4.2, and qMS4.3 were mapped separately in subgenomes Fvb4-4, Fvb4-3, and Fvb4-1, respectively, in 'Camarosa' genome assembly v. 1.0.a1. Candidate regions of qMS4.1 and qMS4.3 were clearly detected around 12-26 Mb in Fvb4-4 and 12-14 Mb in Fvb4-1, respectively; those of qMS4.2 were fragmented in Fvb4-3, which suggests that some scaffolds were incorrectly assembled in Fvb4-3. qMS4.3 was mapped to chr4X1 of 'Reikou' genome assembly r2.3, and qMS4.1 and qMS4.2 were both mapped to chr4Av, which indicates that differentiation of the subgenomes in which both QTLs are located was insufficient in 'Reikou' r2.3. Although 'Camarosa' genome assembly v. 1.0.a1 is an unphased map, which merges homologous chromosomes into one sequence, 'Reikou' genome assembly r2.3 is a phased map, which separates homologous chromosomes. QTL mapping to different reference genomes clearly showed the specific features of each reference genome, and that using different kinds of reference map could accelerate fine mapping and map-based cloning of certain genes of cultivated strawberry.","Wada T, Monden H, Isobe S, Shirasawa K, Sueyoshi T, Hirata C, Mori M, Nagamatsu S, Tanaka Y",Breeding science,2021,
10.17660_ActaHortic.2020.1281.77,14664,Identification of QTLs for chilling and heat requirements for bud dormancy release in Prunus mume and their co-localization with the DAM6 eQTL,"Bud dormancy is an important developmental stage that affects the blooming date (BD) and leafing date (LD) in fruit trees. Recent global climate change may affect the progress of dormancy, and the BD and LD. However, the genetic factors controlling the chilling requirement (CR) and heat requirement (HR) for dormancy release are yet to be elucidated. In previous study, we identified significant QTL for leaf bud CR and HR, and LD on LG4 of Japanese apricot (Prunus mume) (Kitamura et al., 2018). Here, we further tested the genomic synteny of the QTL region between Japanese apricot vs. peach (P. persica), and Japanese apricot vs. sweet cherry (P. avium). Our comparative genomic analysis suggested that 751, 635, and 509 genes were conserved in common in the genomes of three Prunus species, Japanese apricot, peach and sweet cherry genomes, respectively, in corresponding regions of Japanese apricot QTLs for dormancy-related traits including CR on LG4. Co-localization of significant QTLs controlling PmDAM6 expression with CR, HR and LD on LG4 was also supported. Our WGCNA analysis using published microarray data (Habu et al., 2014) identified the QTL interval genes showing expression patterns correlated with PmDAM6. Of these, 29 genes were annotated as transcription factors. Further characterizations should be conducted in genes located in this QTL interval, which will provide the clues to understand the genetic regulation of bud dormancy in Prunus.","Yamane H, Chen W, Kitamura Y, Habu T, Tao R",Acta horticulturae,2020,
10.1093_hr_uhae315,16889,Loss-of-function mutations in the fruit softening gene POLYGALACTURONASE1 doubled fruit firmness in strawberry.,"Wildtype fruit of cultivated strawberry (Fragaria  [Formula: see text]  ananassa) are typically soft and highly perishable when fully ripe. The development of firm-fruited cultivars by phenotypic selection has greatly increased shelf-life, decreased postharvest perishability, and driven the expansion of strawberry production worldwide. Hypotheses for the firm-fruited phenotype include mutations affecting the expression of genes encoding polygalacturonases (PGs) that soften fruit by degrading cell wall pectins. Here we show that loss-of-function mutations in the fruit softening gene POLYGALACTURONASE1 (FaPG1; PG1-6A1) double fruit firmness in strawberry. PG1-6A1 was one of three tandemly duplicated PG genes found to be in linkage disequilibrium (LD) with a quantitative trait locus (QTL) affecting fruit firmness on chromosome 6A. PG1-6A1 was strongly expressed in soft-fruited (wildtype) homozygotes and weakly expressed in firm-fruited (mutant) homozygotes. Genome-wide association, quantitative trait transcript, DNA sequence, and expression-QTL analyses identified genetic variants in LD with PG1-6A1 that were positively correlated with fruit firmness and negatively correlated with PG1-6A1 expression. An Enhancer/Suppressor-mutator (En/Spm) transposable element insertion was discovered upstream of PG1-6A1 in mutant homozygotes that we hypothesize transcriptionally downegulates the expression of PG1-6A1. The PG1-6A1 locus was incompletely dominant and explained 26-76% of the genetic variance for fruit firmness among phenotypically diverse individuals. Additional loci are hypothesized to underlie the missing heritability. Highly accurate codominant genotyping assays were developed for modifying fruit firmness by marker-assisted selection of the En/Spm insertion and single nucleotide polymorphisms associated with the PG1-6A1 locus.","Jiménez NP, Bjornson M, Famula RA, Pincot DDA, Hardigan MA, Madera MA, Lopez Ramirez CM, Cole GS, Feldmann MJ, Knapp SJ",Horticulture research,2025,
10.1093_pcp_pcag051,17556,Characterization of a cytosol-localized dual prenyl diphosphate synthase involved in monoterpene and sesquiterpene biosynthesis in strawberry.,"Plants produce more than a million metabolites, most of which are compounds from specialized metabolism. The biosynthesis of these metabolites is controlled by different organelles within cells. For terpenoids in particular, plant cells have two independent pathways: the methylerythritol phosphate pathway in plastids and the mevalonate pathway in the cytosol. Monoterpenes, a class of C10 compounds, play important roles in plant communication with other organisms, such as pollinators and herbivores, to aid reproduction and deter predators, respectively. Monoterpenes are generally produced by terpene synthases, which are responsible for each end product from the common substrate, geranyl diphosphate (GPP), via the methylerythritol phosphate pathway in plastids, where GPP biosynthesis also occurs. However, linalool, a major monoterpene found in strawberries (Fragaria × ananassa), is synthesized via the mevalonate pathway in the cytosol by a cytosol-localized terpene synthase, FaNES1. The enzyme that provides its substrate remains unknown. In this study, we identified two strong candidates for cytosol-localized trans-prenyltransferases. Both candidates were functionally characterized, and we demonstrated that one yielded both GPP and farnesyl diphosphate (FPP), with a higher efficiency for GPP. The other protein exclusively yielded FPP. Both proteins lack a transit peptide and are localized in the cytosol. Gene expression analysis revealed that GPP/FPP synthase is almost constantly expressed in strawberries. We also discuss a putative molecular evolution of the unique strawberry GPP synthase.","Tachibana Y, Ueoka H, Goto M, Dan N, Koita S, Li H, Kusano H, Ichino T, Munakata R, Sugiyama A, Yazaki K",Plant & cell physiology,2025,
10.1093_plcell_koag134,17581,The Gα protein FveGPA1 regulates inflorescence architecture via the FveBRI1-mediated brassinosteroid pathway in strawberry.,"Inflorescence architecture determines fruit number and size, making it a critical agricultural trait. In strawberry, inflorescences display distinct branching patterns that correlate with fruit size uniformity, but the underlying genetic mechanisms remain poorly understood. Here, we identified four basal-branching inflorescence mutants (bbi1-1, bbi1-2, bbi2-1, and bbi2-2) in woodland strawberry (Fragaria vesca), whose inflorescences are partially basal-branching compared to the upper-branching inflorescences of the wild type. The heterotrimeric G-protein α-subunit gene FveGPA1 is responsible for the defects in bbi1-1 and bbi1-2, whose phenotypes are further enhanced by a mutation in the γ-subunit gene FveAGG3. The brassinosteroid (BR) receptor gene FveBRI1 is the causal gene for the bbi2-1 and bbi2-2 mutants. Notably, bbi1 bbi2 double mutants produce exclusively basal-branching inflorescences, a more severe phenotype than single mutants, suggesting a synergistic interaction between FveGPA1 and FveBRI1. Gene expression analysis, BR sensitivity assays, and BR metabolite quantification, together with the observed rescue of the bbi1 phenotype through loss-of-function of the BR metabolic enzyme CYP734A129, collectively indicate that FveGPA1 regulates inflorescence architecture via the BR signaling pathway. This phenotypic change is driven by differential elongation of the peduncle and pedicel due to cell division and expansion. Our findings reveal a molecular framework for inflorescence internode elongation mediated by the heterotrimeric G-protein and BR pathways and provide a theoretical basis for optimizing strawberry inflorescence architecture.","Zhu Z, Zhang Y, Han Y, Hu S, Zheng G, Wu Y, Xu P, Lian H, Kang C",The Plant cell,2026,
10.3390_ijms27125479,17718,Genome-Wide Analysis Reveals the Roles of FAR1/FHY3 Genes in Fragaria × ananassa Under Abiotic/Biotic Stresses and Highlights Their Potential Functions in Anthocyanin Biosynthesis During Fruit Development.,"FAR1/FHY3 transcription factors are key regulators of plant growth and development, but their identification and functions in strawberries (Fragaria × ananassa) remain largely unexplored. In this study, 47 FaFAR1/FHY3 genes in cultivated strawberries were systematically identified, which were categorized into six subfamilies and randomly distributed across 15 chromosomes, with segmental duplication as the main driver of the expansion of this gene family. Integration of phylogenetic relationships, gene structure, and conserved motif composition uncovered distinct divergences among the subfamilies. A cis-acting element analysis of promoters and gene expression profiles showed that these genes responded to various abiotic and biotic stresses, phytohormones, and far-red light signals, with FaFAR1-7 and FaFAR1-44 strongly responding to multiple stresses, including temperature, drought, and pathogen infection. Additionally, FaFAR1-12 and FaFAR1-18 exhibited positive correlations with anthocyanin accumulation and the expression of key anthocyanin biosynthesis genes during fruit development. Dual-luciferase reporter assays further confirmed that FaFAR1-12 and FaFAR1-18 significantly activated the promoters of key structural genes related to anthocyanin biosynthesis, indicating that these two TFs exert vital regulatory functions in anthocyanin accumulation during strawberry fruit development. This study comprehensively identifies and characterizes the FaFAR1/FHY3 genes in cultivated strawberries, laying a foundation for their functional analysis and for screening out the key regulatory genes for strawberry fruit quality improvement.","Ren R, Xu Y, Cheng Y, Li Q, Ding W, Shen L, Chen L",International journal of molecular sciences,2026,
10.1007_PL00002912,793,Two genetic linkage maps of tetraploid roses,"A tetraploid F2 progeny segregating for resistance to black spot, growth habit, and absence of prickles on the stem and petioles was used to construct genetic linkage maps of rose. The F1 of the progeny, 90–69, was created by crossing a black spot-resistant amphidiploid, 86–7, with a susceptible tetraploid, 82–1134. The F1 was open-pollinated to obtain 115 seedlings. AFLP and SSR markers were used to eliminate seedlings produced through cross-fertilization. The remaining progeny set of 52 F2 plants was used to study the inheritance of 675 AFLPs, one isozyme, three morphological and six SSR markers. AFLP markers were developed with three combinations of restriction enzymes, EcoRI/MseI, KpnI/MseI and PstI/MseI. Most of the markers appear to be in simplex or single-dose and segregated 3:1 in the progeny. One linkage map was constructed for each parent using only the single-dose markers. The map of 86–7 consists of 171 markers assigned to 15 linkage groups and covering more than 902 cM of the genome. The map of 82–1134 consists of 167 markers assigned to 14 linkage groups and covering more than 682 cM of the genome. In the AFLP analysis, EcoRI/MseI generated nearly twice as many markers per run than PstI/MseI. Markers developed with three restriction enzyme combinations showed a mixed distribution throughout the maps. A gene controlling the prickles on the petiole was located at the end of linkage group 7 on the map of 86–7. A gene for malate dehydrogenase locus 2 was located in the middle of linkage group 4 on the map of 86–7. These first-generation maps provide initial tools for markerassisted selection and gene introgression for the improvement of modern tetraploid roses.","Rajapakse, S., Byrne, D.H., Zhang, L., Anderson, N., Arumuganathan, K., Ballard, R.E.",Theoretical and applied genetics,2001,
10.2503_jjshs.73.511,10531,Identification of Parentage of Japanese Pear 'Housui',"The 84 cross combinations used in the Japanese pear breeding program in 1953-1955 were investigated to identify the parents of 'Housui' (syn. 'Hosui'). Twenty-one putative parent cultivars were investigated for their S genotypes and skin types. The S genotypes of 75 out of 84 cross combinations could not have sired 'Housui' (S3S5) because neither putative parent has an S3 nor S5 allele. Skin types of all cultivars used for 9 cross combinations selected from S genotype analysis were russet types. For this reason, 9 cross combinations are possible sources for the putative parents of 'Housui'. These 9 cross combinations were investigated by utilizing 10 SSR markers developed from Japanese and European pears. The SSR analysis indicated that only two parental crosses, 'Kousui' (syn. 'Kosui') × '1-33' and '1-33' × 'Kousui' were possible; the other 7 parentages had discrepancies at the 2-6 loci. The two assumed parents of 'Housui', 'Kousui' and 'I-33' were investigated by using 51 more SSR markers. A total of 61 SSR marker analyses confirmed the parent-offspring relationships because 'Housui' inherited SSR alleles from 'Kousui' and '1-33' without any discrepancy. Chloroplast DNA (trnL-F region) was investigated to determine whether 'Kousui' or '1-33' was the female parent. The nucleotide sequence at the trnL-F region of 'Housui' was exactly the same as that of 'Kousui', but was different from that of '1-33'. Therefore, we conclude that 'Kousui' is the female parent of 'Housui' and '1-33' is the male parent.","Sawamura Y, Saito T, Takada N, Yamamoto T, Kimura T, Hayashi T,, Kotobuki K.",Journal of the Japanese Society for Horticultural Science,2004,
10.17660_ActaHortic.2013.976.65,9185,Development of SNP markers for marker-assisted selection in pear,"Single-nucleotide polymorphisms (SNPs) are desirable DNA markers for marker-assisted selection because of their high abundance, codominant inheritance, locus specificity and potential for automated high-throughput analysis. The average number of SNPs in introns has been reported to be several times higher than that in exons in many organisms. Potential intron polymorphism (PIP) markers, designed from expressed sequence tag (EST) sequences (exon regions), could amplify potential flanking intron regions without requiring genome sequence information. In this study, we used PIP markers designed from apple (Malus × domestica) ESTs to identify intron regions and to detect SNPs in pear (Pyrus spp.). We evaluated 170 PIP markers for Japanese pear P. pyrifolia cultivar 'Housui' and the European pear P. communis cultivar 'Bartlett'. Of the 170 PIP markers, 142 markers amplified fragments in both cultivars. The fragment size was larger than the size predicted from the apple EST sequences, suggesting the existence of introns in the amplified fragments. We sequenced the amplified fragments and detected candidate bi-allelic SNPs in intron regions of both cultivars. The genome sequences obtained from pear were aligned to the apple EST sequences, revealing that the sequences included donor and acceptor sites, and contained deduced exons and flanking introns in pear. SNP analysis showed that 55 and 54 markers were mapped on the genetic linkage maps of 'Bartlett' and 'Housui', respectively. The PIP markers designed from apple ESTs were applicable in pear and could be used to detect SNPs in intron regions and to develop SNP markers in pear. The PIP markers will facilitate marker-assisted selection for disease resistance and other important traits in pear breeding programs.","Terakami S, Nishitani C, Yamamoto T",Acta horticulturae,2013,
10.1046_j.1471-8286.2002.00128.x,7014,Development of microsatellite markers in the Japanese pear (Pyrus pyrifolia Nakai),"Thirteen polymorphic microsatellite loci were developed in the Japanese pear (Pyrus pyrifolia Nakai) by using an enriched genomic library. The obtained microsatellite loci showed a high degree of polymorphism in the Japanese pear with 3–6 alleles per locus. The average values of observed and expected heterozygosities among these 13 loci were 0.69 and 0.71, respectively. Ten microsatellites could successfully amplify loci in the European pear (Pyrus communis L.), which were highly polymorphic as well.","Yamamoto T, Kimura T, Shoda M, Ban Y, Hayashi T, Matsuta N",Molecular Ecology Notes,2002,
10.1007_s00122-004-1903-6,377,"Construction of an integrated map of rose with AFLP, SSR, PK, RGA, RFLP, SCAR and morphological markers","A high-density genetic map with a number of anchor markers has been created to be used as a tool to dissect genetic variation in rose. Linkage maps for the diploid 94/1 population consisting of 88 individuals were constructed using a total of 520 molecular markers including AFLP, SSR, PK, RGA, RFLP, SCAR and morphological markers. Seven linkage groups, putatively corresponding to the seven haploid rose chromosomes, were identified for each parent, spanning 487 cM and 490 cM, respectively. The average length of 70 cM may cover more than 90% of the rose genome. An integrated map was constructed by incorporating the homologous parental linkage groups, resulting in seven linkage groups with a total length of 545 cM. The present linkage map is currently the most advanced map in rose with regard to marker density, genome coverage and with robust markers, giving good perspectives for QTL mapping and marker-assisted breeding in rose. The SSR markers, together with RFLP markers, provide good anchor points for future map alignment studies in rose and related species. Codominantly scored AFLP markers were helpful in the integration of the parental maps.","Yan Z, Denneboom C, Hattendorf A, Dolstra O, Debener T, Stam P, Visser PB",Theoretical and Applied Genetics,2005,
